,0
BsmtFinType1_LwQ,0.0
BsmtFinType1_Rec,0.0
BsmtFinType1_Unf,-0.0
BsmtFinType2_BLQ,0.0
BsmtFinType2_GLQ,-0.0
BsmtFinType2_LwQ,0.0
BsmtFinType2_Rec,0.0
BsmtFinType2_Unf,-0.0
Heating_GasW,0.0
MasVnrType_Stone,-0.0
ExterQual_Fa,-0.0
ExterQual_Gd,-0.0
GarageQual_Gd,0.0
GarageQual_Nenhum,-0.0
Heating_Grav,-0.0
HeatingQC_Po,-0.0
Electrical_FuseF,0.0
Electrical_FuseP,-0.0
Electrical_Mix,-0.0
HeatingQC_Gd,0.0
KitchenQual_Fa,-0.0
KitchenQual_Gd,0.0
KitchenQual_TA,0.0
Functional_Maj2,-0.0
Functional_Min1,0.0
Functional_Min2,0.0
Functional_Mod,-0.0
HeatingQC_TA,-0.0
Functional_Typ,-0.0
FireplaceQu_Fa,0.0
FireplaceQu_Nenhum,-0.0
FireplaceQu_Gd,-0.0
FireplaceQu_Po,-0.0
FireplaceQu_TA,0.0
GarageType_Basment,-0.0
GarageType_BuiltIn,-0.0
GarageType_CarPort,-0.0
GarageType_Detchd,-0.0
GarageType_Nenhum,-0.0
GarageFinish_Nenhum,-0.0
GarageFinish_RFn,0.0
GarageFinish_Unf,-0.0
GarageQual_Fa,-0.0
Electrical_SBrkr,0.0
MiscFeature_Nenhum,0.0
MiscFeature_Othr,0.0
GarageQual_TA,0.0
GarageQual_Po,-0.0
GarageCond_Gd,0.0
GarageCond_Nenhum,-0.0
GarageCond_Po,-0.0
GarageCond_Fa,-0.0
GarageCond_TA,0.0
PavedDrive_P,-0.0
PoolQC_Gd,0.0
PoolQC_Nenhum,-0.0
Fence_GdWo,-0.0
Fence_MnPrv,0.0
Fence_MnWw,0.0
Fence_Nenhum,-0.0
SaleType_New,-0.0
SaleType_Oth,-0.0
MiscFeature_Shed,-0.0
SaleType_CWD,0.0
SaleType_Con,0.0
SaleType_ConLD,0.0
SaleType_ConLI,0.0
SaleType_ConLw,-0.0
SaleCondition_Alloca,-0.0
SaleCondition_Family,0.0
SaleType_WD,0.0
SaleCondition_AdjLand,0.0
SaleCondition_Normal,0.0
SaleCondition_Partial,-0.0
MasVnrArea,-0.0029476009077527955
OpenPorchSF,-0.0065934806175403
